Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
<empty>,"1,083",--,0.00%,28.33,D,28.71,E,31 MAR 23,279,.02,Q,.03,Q,36,"2,198",47.80%,1.37%
41,"1,048",--,0.00%,27.35,N,27.64,N,31 MAR 23,280,.02,Q,.04,T,"1,420","40,132",47.29%,1.63%
<empty>,"1,243",--,0.00%,26.33,W,26.71,D,31 MAR 23,281,.03,T,.05,T,494,"31,907",47.41%,2.10%
3,"1,251",--,0.00%,25.33,W,25.71,D,31 MAR 23,282,.03,T,.06,T,382,"3,472",46.52%,2.37%
2,607,--,0.00%,24.33,W,24.71,D,31 MAR 23,283,.04,Q,.05,J,88,"4,903",44.92%,2.43%
1,488,--,0.00%,23.34,W,23.72,D,31 MAR 23,284,.04,T,.05,T,110,"5,627",43.31%,2.51%
8,"1,004",--,0.00%,22.35,C,22.73,W,31 MAR 23,285,.04,N,.05,N,"7,337","40,969",41.71%,2.59%
7,994,--,0.00%,21.35,D,21.73,C,31 MAR 23,286,.04,X,.06,T,77,"9,957",40.68%,2.90%
15,"1,759",--,0.00%,20.36,C,20.74,D,31 MAR 23,287,.05,T,.06,T,"3,432","2,825",39.58%,3.22%
11,"1,075",--,0.00%,19.39,N,19.70,C,31 MAR 23,288,.06,T,.07,T,"1,363","9,170",38.86%,3.79%
5,"1,517",--,0.00%,18.38,C,18.71,T,31 MAR 23,289,.06,N,.08,T,54,"4,475",37.59%,4.16%
77,"11,468",--,0.00%,17.42,W,17.68,C,31 MAR 23,290,.07,I,.09,T,"4,490","43,837",36.65%,4.77%
26,"3,101",--,0.00%,16.48,P,16.70,N,31 MAR 23,291,.09,T,.10,T,488,"2,338",35.91%,5.64%
9,"2,322",--,0.00%,15.42,C,15.75,T,31 MAR 23,292,.11,T,.12,T,707,"4,204",35.28%,6.76%
6,"2,749",--,0.00%,14.43,D,14.82,D,31 MAR 23,293,.13,T,.14,T,"2,467","3,503",34.44%,7.91%
25,"2,584",--,0.00%,13.50,N,13.77,N,31 MAR 23,294,.16,T,.17,T,"1,855","2,713",33.84%,9.53%
122,"5,615",--,0.00%,12.56,D,12.84,D,31 MAR 23,295,.20,N,.21,T,"15,386","26,883",33.37%,11.59%
55,704,--,0.00%,11.57,E,11.93,W,31 MAR 23,296,.24,T,.28,B,"6,611","3,198",33.07%,14.27%
67,"4,897",--,0.00%,10.67,D,10.90,E,31 MAR 23,297,.30,Q,.31,T,"5,598","4,268",32.19%,16.68%
241,"7,740",--,0.00%,9.76,D,9.96,X,31 MAR 23,298,.37,W,.39,T,"4,738","11,585",31.78%,20.19%
176,"1,456",--,0.00%,8.90,X,9.07,X,31 MAR 23,299,.47,Q,.49,T,"3,664","4,597",31.53%,24.56%
"2,070","34,097",--,0.00%,8.03,I,8.16,X,31 MAR 23,300,.57,I,.60,T,"15,802","45,113",31.00%,29.19%
231,"1,294",--,0.00%,7.10,X,7.33,N,31 MAR 23,301,.73,T,.75,B,"1,515","4,572",30.91%,35.23%
430,"7,599",--,0.00%,6.29,E,6.52,W,31 MAR 23,302,.90,T,.91,N,"4,694","9,008",30.52%,41.56%
"1,547","1,518",14.14%,13.42%,5.51,N,5.74,I,31 MAR 23,303,1.11,T,1.13,D,"3,719","6,816",30.37%,49.04%
"1,678","5,547",17.16%,31.56%,4.77,N,4.99,I,31 MAR 23,304,1.35,T,1.38,T,"3,869","5,763",30.13%,57.12%
"6,574","18,580",18.44%,47.02%,4.07,X,4.26,X,31 MAR 23,305,1.65,T,1.68,Z,"19,199","14,377",30.04%,66.07%
"8,818","2,801",19.45%,62.83%,3.44,I,3.61,I,31 MAR 23,306,1.99,D,2.03,T,"6,967","5,180",29.95%,75.54%
"6,965","3,073",19.83%,78.00%,2.89,Z,2.93,T,31 MAR 23,307,2.39,T,2.41,N,"3,361","4,835",29.82%,85.42%
"9,356","10,211",20.16%,93.42%,2.35,Q,2.39,B,31 MAR 23,308,2.85,Z,2.89,Z,"3,644","6,784",29.99%,95.63%
"4,226","2,932",20.24%,91.51%,1.86,X,1.90,T,31 MAR 23,309,3.30,N,3.52,X,"1,216","2,634",30.33%,94.26%
"11,539","34,518",20.22%,76.89%,1.44,Z,1.47,T,31 MAR 23,310,3.88,I,4.09,I,"4,147","14,121",30.53%,84.41%
"7,312","5,705",20.23%,63.09%,1.09,T,1.12,B,31 MAR 23,311,4.55,N,4.75,I,"1,399","2,626",31.15%,75.27%
"8,789","9,604",20.11%,50.24%,.80,P,.82,T,31 MAR 23,312,5.26,I,5.39,I,"1,214","1,940",31.44%,66.50%
"3,911","4,012",20.23%,39.37%,.59,N,.60,C,31 MAR 23,313,5.99,N,6.18,X,186,"2,317",32.20%,58.89%
"2,822","4,145",20.21%,29.85%,.41,T,.43,B,31 MAR 23,314,6.87,N,7.11,X,486,613,34.27%,53.61%
"9,951","14,846",20.30%,22.25%,.29,T,.30,T,31 MAR 23,315,7.75,N,8.03,N,"1,660","2,143",36.08%,48.85%
"3,131","5,216",20.43%,16.30%,.20,T,.21,T,31 MAR 23,316,8.64,N,8.96,N,42,568,37.82%,44.69%
"1,730","4,898",20.72%,11.98%,.14,T,.15,T,31 MAR 23,317,9.62,N,9.91,N,33,175,40.12%,41.72%
"6,408","18,312",20.95%,8.63%,.09,T,.11,B,31 MAR 23,318,10.60,C,10.88,C,94,"1,141",42.45%,39.22%
718,"2,835",21.25%,6.21%,.06,T,.08,B,31 MAR 23,319,11.51,D,11.89,W,11,25,44.50%,36.77%
"5,812","36,272",21.30%,4.18%,.04,T,.05,E,31 MAR 23,320,12.52,H,12.90,W,396,"2,041",47.17%,35.26%
299,"2,400",21.99%,3.24%,.03,Q,.04,D,31 MAR 23,321,13.49,H,13.90,W,24,134,49.44%,33.57%
854,"5,964",22.40%,2.36%,.02,T,.03,T,31 MAR 23,322,14.55,N,14.90,W,11,146,52.34%,32.65%
703,"2,343",23.17%,1.89%,.01,Z,.03,B,31 MAR 23,323,15.47,Z,15.90,H,<empty>,1,54.13%,30.89%
331,"11,950",23.60%,1.39%,.01,T,.02,T,31 MAR 23,324,16.50,N,16.90,T,1,13,56.73%,29.99%
737,"24,088",25.03%,1.37%,.01,E,.02,T,31 MAR 23,325,17.47,Z,17.90,H,5,40,58.83%,28.78%
112,"2,733",24.96%,0.89%,0,H,.02,T,31 MAR 23,326,18.57,E,18.88,W,<empty>,0,61.79%,28.36%
120,603,27.59%,1.24%,.01,Q,.02,B,31 MAR 23,327,19.58,E,19.89,D,<empty>,0,64.24%,27.61%
142,"7,848",28.85%,1.18%,.01,P,.02,D,31 MAR 23,328,20.58,C,20.88,D,<empty>,0,66.42%,26.74%
24,96,30.11%,1.13%,.01,D,.02,D,31 MAR 23,329,21.50,T,21.90,C,<empty>,8,68.15%,25.64%
437,"4,148",27.96%,0.43%,0,B,.01,T,31 MAR 23,330,22.52,H,22.90,Z,<empty>,11,70.53%,25.07%
70,"1,033",29.09%,0.42%,0,J,.01,T,31 MAR 23,331,23.50,T,23.90,W,<empty>,1,72.54%,24.30%
19,949,30.22%,0.40%,0,J,.01,T,31 MAR 23,332,24.50,T,24.90,W,<empty>,1,74.71%,23.70%
5,"1,394",31.33%,0.39%,0,J,.01,T,31 MAR 23,333,25.57,E,25.85,D,<empty>,0,77.04%,23.24%
1,"1,024",32.45%,0.37%,0,J,.01,D,31 MAR 23,334,26.58,E,26.87,N,<empty>,0,79.46%,22.86%
2,"24,303",33.55%,0.36%,0,J,.01,D,31 MAR 23,335,27.50,N,27.90,Z,<empty>,9,81.11%,22.09%
<empty>,"1,752",34.65%,0.35%,0,J,.01,C,31 MAR 23,336,28.57,E,28.87,E,<empty>,0,83.59%,21.81%
<empty>,"2,741",35.74%,0.34%,0,J,.01,C,31 MAR 23,337,29.58,E,29.86,D,<empty>,0,85.68%,21.36%
<empty>,492,36.83%,0.33%,0,J,.01,C,31 MAR 23,338,30.50,D,30.90,E,<empty>,1,87.37%,20.74%
Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
36,37,--,0.00%,28.40,C,28.74,D,3 APR 23,279,.04,T,.06,T,44,276,35.61%,2.36%
16,21,--,0.00%,27.40,W,27.74,D,3 APR 23,280,.04,B,.06,T,428,706,34.54%,2.44%
20,30,--,0.00%,26.43,N,26.67,N,3 APR 23,281,.05,T,.06,T,20,107,33.86%,2.69%
57,50,--,0.00%,25.48,N,25.68,N,3 APR 23,282,.05,B,.07,T,14,107,33.13%,2.96%
<empty>,14,--,0.00%,24.42,W,24.76,D,3 APR 23,283,.06,T,.07,T,1,205,32.36%,3.24%
<empty>,4,--,0.00%,23.43,W,23.74,H,3 APR 23,284,.07,T,.08,T,13,314,31.87%,3.72%
9,18,--,0.00%,22.44,W,22.78,D,3 APR 23,285,.07,C,.09,T,168,201,31.01%,4.02%
<empty>,11,--,0.00%,21.45,W,21.79,D,3 APR 23,286,.08,B,.10,T,40,337,30.38%,4.53%
<empty>,2,--,0.00%,20.47,C,20.80,D,3 APR 23,287,.10,T,.11,T,43,469,29.92%,5.25%
<empty>,6,--,0.00%,19.49,C,19.82,D,3 APR 23,288,.11,T,.13,T,162,255,29.35%,5.99%
55,47,--,0.00%,18.51,C,18.84,D,3 APR 23,289,.13,T,.15,T,32,303,28.88%,6.93%
10,56,--,0.00%,17.52,W,17.86,D,3 APR 23,290,.16,T,.17,T,185,"1,061",28.45%,8.08%
218,2,--,0.00%,16.62,N,16.84,N,3 APR 23,291,.18,C,.20,T,322,440,27.90%,9.27%
18,96,--,0.00%,15.66,N,15.85,N,3 APR 23,292,.22,W,.24,B,"1,298","7,850",27.62%,10.99%
<empty>,2,--,0.00%,14.66,W,14.97,D,3 APR 23,293,.26,W,.28,T,84,475,27.17%,12.75%
4,21,--,0.00%,13.71,W,14.02,D,3 APR 23,294,.31,C,.33,T,113,700,26.78%,14.87%
26,142,--,0.00%,12.78,W,13.09,W,3 APR 23,295,.38,T,.40,B,"10,290",636,26.59%,17.65%
12,14,--,0.00%,11.87,D,12.15,C,3 APR 23,296,.46,T,.50,B,"4,049","7,764",26.49%,20.98%
4,13,--,0.00%,10.96,D,11.25,Z,3 APR 23,297,.55,T,.57,T,447,195,26.03%,24.12%
13,85,--,0.00%,10.07,W,10.36,Z,3 APR 23,298,.66,T,.68,T,303,161,25.77%,28.07%
30,20,--,0.00%,9.19,D,9.48,W,3 APR 23,299,.79,T,.81,T,609,319,25.53%,32.55%
41,43,0.08%,0.00%,8.37,W,8.56,E,3 APR 23,300,.94,T,.96,T,"1,126","1,018",25.27%,37.52%
23,47,10.61%,5.92%,7.52,D,7.81,Z,3 APR 23,301,1.11,C,1.14,T,151,239,25.03%,43.05%
159,17,13.49%,20.02%,6.74,I,6.97,N,3 APR 23,302,1.32,T,1.35,T,598,432,24.85%,49.26%
17,21,15.04%,33.32%,5.97,D,6.25,Z,3 APR 23,303,1.56,T,1.59,T,220,225,24.67%,55.99%
141,51,15.78%,45.22%,5.26,D,5.50,T,3 APR 23,304,1.83,T,1.87,T,768,208,24.50%,63.24%
787,117,16.41%,57.60%,4.61,I,4.81,I,3 APR 23,305,2.15,T,2.18,T,"1,672","2,050",24.37%,70.98%
"1,169",140,16.75%,69.81%,4.01,I,4.13,I,3 APR 23,306,2.51,T,2.60,W,"1,499",448,24.47%,79.33%
"1,445",233,16.96%,82.16%,3.42,X,3.53,X,3 APR 23,307,2.88,X,2.95,T,366,216,24.10%,87.56%
821,175,17.05%,94.62%,2.90,T,2.95,T,3 APR 23,308,3.33,I,3.47,I,"1,014",457,24.28%,96.28%
699,533,17.01%,93.19%,2.38,B,2.45,T,3 APR 23,309,3.81,I,4.00,C,315,"1,494",24.30%,95.15%
"1,688",962,17.16%,81.52%,1.98,N,2.01,D,3 APR 23,310,4.36,N,4.57,Z,373,733,24.41%,86.77%
995,"1,097",17.05%,70.01%,1.58,T,1.61,T,3 APR 23,311,4.97,N,5.19,Z,61,214,24.60%,78.69%
490,259,16.98%,59.12%,1.24,T,1.28,C,3 APR 23,312,5.63,N,5.87,Z,140,338,24.90%,71.09%
676,837,16.97%,49.14%,.97,P,1.00,C,3 APR 23,313,6.32,X,6.60,N,81,100,25.23%,63.99%
458,469,16.93%,40.07%,.74,T,.77,C,3 APR 23,314,7.10,X,7.40,Z,14,59,25.92%,57.90%
"1,754","1,447",16.90%,32.09%,.56,T,.58,C,3 APR 23,315,7.94,H,8.24,Z,39,264,26.80%,52.70%
364,279,16.83%,25.11%,.41,T,.43,T,3 APR 23,316,8.82,E,9.09,N,150,31,27.73%,48.13%
388,258,16.86%,19.50%,.30,T,.32,T,3 APR 23,317,9.72,C,10.00,N,155,23,28.85%,44.38%
319,840,16.96%,15.06%,.22,T,.24,T,3 APR 23,318,10.59,W,10.97,E,1,8,30.01%,41.12%
84,208,17.09%,11.55%,.16,T,.18,D,3 APR 23,319,11.55,D,11.91,W,<empty>,5,31.35%,38.52%
178,838,17.10%,8.54%,.11,T,.13,T,3 APR 23,320,12.59,C,12.86,N,163,196,33.06%,36.75%
176,394,17.33%,6.54%,.08,T,.10,D,3 APR 23,321,13.51,H,13.88,H,14,25,34.48%,34.83%
44,463,17.47%,4.88%,.06,T,.07,T,3 APR 23,322,14.49,W,14.90,Z,<empty>,1,36.17%,33.46%
99,630,17.52%,3.50%,.04,T,.05,T,3 APR 23,323,15.53,H,15.89,Z,<empty>,8,37.98%,32.40%
51,275,17.87%,2.74%,.03,T,.04,T,3 APR 23,324,16.53,T,16.89,Z,<empty>,29,39.62%,31.26%
428,"1,382",18.46%,2.31%,.02,T,.04,D,3 APR 23,325,17.48,C,17.89,Z,<empty>,8,40.96%,29.90%
4,"2,339",18.95%,1.91%,.02,T,.03,T,3 APR 23,326,18.53,T,18.89,Z,<empty>,2,42.82%,29.25%
175,"5,070",19.34%,1.53%,.01,T,.03,Q,3 APR 23,327,19.56,E,19.88,D,<empty>,0,44.51%,28.47%
196,"1,449",19.61%,1.19%,.01,P,.02,T,3 APR 23,328,20.56,D,20.88,D,<empty>,0,46.06%,27.64%
67,"2,204",20.47%,1.13%,.01,D,.02,T,3 APR 23,329,21.56,E,21.85,D,<empty>,0,47.43%,26.69%
23,"6,656",20.31%,0.75%,0,J,.02,D,3 APR 23,330,22.52,D,22.89,W,<empty>,1,48.95%,25.98%
17,"1,444",21.28%,0.77%,0,B,.02,B,3 APR 23,331,23.57,E,23.86,D,<empty>,0,50.57%,25.41%
6,103,22.08%,0.74%,0,J,.02,B,3 APR 23,332,24.57,E,24.86,D,<empty>,0,52.07%,24.78%
18,14,21.31%,0.39%,0,J,.01,T,3 APR 23,333,25.58,E,25.86,D,<empty>,0,53.61%,24.23%
<empty>,51,22.07%,0.37%,0,J,.01,T,3 APR 23,334,26.58,E,26.86,D,<empty>,0,55.07%,23.67%
751,8,22.83%,0.36%,0,J,.01,T,3 APR 23,335,27.58,E,27.86,E,<empty>,0,56.53%,23.14%
711,36,23.58%,0.35%,0,J,.01,T,3 APR 23,336,28.58,E,28.85,N,<empty>,0,57.91%,22.59%
<empty>,76,24.32%,0.34%,0,J,.01,T,3 APR 23,337,29.58,E,29.82,E,<empty>,0,59.15%,21.97%
<empty>,9,25.06%,0.33%,0,J,.01,T,3 APR 23,338,30.58,E,30.82,E,<empty>,0,60.58%,21.53%
Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
<empty>,2,--,0.00%,28.62,W,28.96,D,5 APR 23,279,.08,B,.10,T,3,23,33.27%,3.74%
<empty>,32,--,0.00%,27.63,W,27.97,D,5 APR 23,280,.09,N,.11,T,165,104,32.77%,4.15%
7,7,--,0.00%,26.65,C,26.98,D,5 APR 23,281,.10,N,.12,T,70,79,32.21%,4.57%
45,8,--,0.00%,25.70,N,25.92,P,5 APR 23,282,.12,T,.13,T,61,356,31.81%,5.16%
<empty>,15,--,0.00%,24.68,C,25.01,D,5 APR 23,283,.13,T,.15,T,32,47,31.33%,5.76%
100,35,--,0.00%,23.75,N,23.95,P,5 APR 23,284,.15,T,.17,T,<empty>,148,30.95%,6.53%
39,39,--,0.00%,22.72,C,23.05,D,5 APR 23,285,.17,Q,.19,T,125,345,30.47%,7.30%
7,20,--,0.00%,21.75,C,22.07,D,5 APR 23,286,.19,W,.21,T,108,7,29.94%,8.10%
<empty>,2,--,0.00%,20.78,C,21.08,T,5 APR 23,287,.22,Q,.24,T,4,2,29.60%,9.23%
11,12,--,0.00%,19.81,C,20.13,D,5 APR 23,288,.25,T,.27,T,29,96,29.15%,10.37%
35,7,--,0.00%,18.91,N,19.14,N,5 APR 23,289,.28,W,.30,T,255,22,28.62%,11.54%
30,18,--,0.00%,17.91,W,18.22,Z,5 APR 23,290,.33,T,.35,T,133,"2,359",28.38%,13.28%
4,9,--,0.00%,16.96,W,17.27,W,5 APR 23,291,.38,T,.40,T,242,5,28.02%,15.04%
40,75,--,0.00%,16.02,W,16.32,W,5 APR 23,292,.44,Q,.46,T,113,15,27.70%,17.09%
<empty>,0,--,0.00%,15.11,W,15.37,N,5 APR 23,293,.51,Q,.53,T,59,78,27.39%,19.41%
60,30,--,0.00%,14.24,N,14.39,N,5 APR 23,294,.59,T,.61,T,113,99,27.09%,22.01%
24,37,--,0.00%,13.28,D,13.56,W,5 APR 23,295,.68,T,.70,T,"20,205",501,26.77%,24.87%
<empty>,33,0.07%,0.00%,12.37,D,12.67,Z,5 APR 23,296,.79,T,.81,T,190,210,26.52%,28.20%
<empty>,8,0.07%,0.00%,11.51,W,11.79,W,5 APR 23,297,.91,B,.94,B,64,45,26.28%,31.86%
123,18,13.41%,7.12%,10.67,N,10.86,N,5 APR 23,298,1.06,T,1.08,T,19,222,26.06%,35.94%
<empty>,19,15.93%,17.11%,9.81,D,10.09,W,5 APR 23,299,1.22,T,1.25,B,255,395,25.84%,40.40%
4,35,16.96%,25.14%,9.02,C,9.25,X,5 APR 23,300,1.40,D,1.43,T,"20,715","20,655",25.58%,45.16%
1,3,17.63%,33.15%,8.21,W,8.48,T,5 APR 23,301,1.61,T,1.64,T,198,218,25.37%,50.40%
334,23,18.11%,41.38%,7.48,N,7.69,N,5 APR 23,302,1.85,T,1.88,T,31,32,25.19%,56.08%
482,14,18.44%,49.85%,6.75,N,6.96,X,5 APR 23,303,2.11,J,2.15,B,189,301,25.00%,62.10%
195,32,18.66%,58.56%,6.05,X,6.26,X,5 APR 23,304,2.41,C,2.45,T,177,"2,768",24.84%,68.51%
"1,566",92,18.71%,67.39%,5.38,X,5.57,X,5 APR 23,305,2.75,N,2.79,B,642,"1,209",24.73%,75.28%
200,335,18.80%,76.67%,4.78,X,4.91,X,5 APR 23,306,3.11,D,3.23,B,174,586,24.77%,82.39%
265,239,18.76%,86.11%,4.21,T,4.27,B,5 APR 23,307,3.52,T,3.56,T,146,"2,055",24.44%,89.45%
144,150,18.76%,95.80%,3.66,B,3.72,B,5 APR 23,308,3.96,X,4.09,X,118,465,24.56%,96.84%
120,480,18.70%,94.67%,3.15,T,3.20,T,5 APR 23,309,4.40,X,4.60,W,67,285,24.42%,95.86%
275,"1,328",18.53%,85.26%,2.65,B,2.73,B,5 APR 23,310,4.93,X,5.14,N,180,193,24.40%,88.63%
399,772,18.55%,76.12%,2.26,T,2.31,B,5 APR 23,311,5.46,X,5.74,Z,8,404,24.35%,81.48%
216,630,18.33%,66.93%,1.84,B,1.93,B,5 APR 23,312,6.12,X,6.37,X,154,376,24.56%,74.72%
461,537,18.34%,58.49%,1.55,B,1.59,C,5 APR 23,313,6.80,N,7.05,X,94,559,24.78%,68.29%
301,521,18.24%,50.35%,1.26,B,1.30,B,5 APR 23,314,7.48,T,7.79,Z,85,502,24.99%,62.19%
333,556,18.17%,42.86%,1.02,T,1.05,B,5 APR 23,315,8.31,N,8.55,X,38,376,25.57%,56.99%
31,758,18.08%,35.98%,.81,T,.84,B,5 APR 23,316,9.04,D,9.38,Z,<empty>,144,25.90%,51.84%
170,482,18.00%,29.80%,.64,T,.66,T,5 APR 23,317,9.89,D,10.23,Z,<empty>,264,26.57%,47.63%
30,684,17.96%,24.47%,.50,T,.52,T,5 APR 23,318,10.74,Z,11.13,Z,<empty>,144,27.30%,43.92%
111,373,17.99%,19.98%,.39,T,.41,B,5 APR 23,319,11.66,N,12.04,Z,7,348,28.24%,40.90%
353,"5,749",18.00%,16.11%,.30,T,.32,T,5 APR 23,320,12.60,D,12.97,W,2,111,29.26%,38.34%
12,84,18.04%,12.91%,.23,T,.25,B,5 APR 23,321,13.56,W,13.92,W,1,1,30.39%,36.21%
11,66,18.20%,10.47%,.18,P,.20,T,5 APR 23,322,14.53,D,14.89,W,<empty>,0,31.60%,34.43%
105,57,18.12%,8.06%,.13,D,.15,T,5 APR 23,323,15.54,W,15.86,W,<empty>,0,32.94%,33.02%
1,89,18.30%,6.47%,.10,T,.12,D,5 APR 23,324,16.48,W,16.89,Z,<empty>,0,34.22%,31.68%
36,"5,079",18.23%,4.87%,.07,T,.09,T,5 APR 23,325,17.52,T,17.89,T,<empty>,0,35.79%,30.86%
1,236,18.73%,4.21%,.06,T,.08,D,5 APR 23,326,18.48,T,18.89,H,<empty>,0,36.98%,29.64%
10,13,18.64%,3.12%,.04,T,.06,D,5 APR 23,327,19.55,N,19.89,N,<empty>,0,38.67%,29.14%
13,57,18.57%,2.28%,.03,J,.04,N,5 APR 23,328,20.57,E,20.89,N,<empty>,0,40.11%,28.40%
20,23,19.38%,2.19%,.03,T,.04,N,5 APR 23,329,21.55,E,21.84,N,<empty>,0,41.09%,27.22%
<empty>,35,19.78%,1.87%,.02,T,.04,Z,5 APR 23,330,22.56,E,22.83,N,<empty>,0,42.40%,26.49%
5,7,20.10%,1.55%,.02,T,.03,T,5 APR 23,331,23.56,D,23.88,D,<empty>,0,43.96%,26.07%
<empty>,60,20.32%,1.25%,.01,C,.03,Z,5 APR 23,332,24.57,B,24.82,N,<empty>,0,44.99%,25.15%
<empty>,55,21.05%,1.21%,.01,H,.03,Z,5 APR 23,333,25.57,E,25.87,D,<empty>,0,46.52%,24.81%
<empty>,23,21.10%,0.93%,.01,T,.02,T,5 APR 23,334,26.57,E,26.86,D,<empty>,0,47.74%,24.18%
<empty>,1,21.81%,0.90%,.01,T,.02,T,5 APR 23,335,27.57,N,27.81,N,<empty>,0,48.72%,23.39%
4,4,22.51%,0.87%,.01,T,.02,T,5 APR 23,336,28.57,E,28.86,D,<empty>,0,50.24%,23.13%
1,4,23.21%,0.84%,.01,T,.02,Z,5 APR 23,337,29.57,E,29.86,D,<empty>,0,51.47%,22.64%
<empty>,58,22.94%,0.59%,0,B,.02,Z,5 APR 23,338,30.58,E,30.86,E,<empty>,0,52.76%,22.23%
Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch
30,119,--,0.00%,23.75,C,24.14,D,6 APR 23,284,.20,W,.22,T,126,980,30.59%,7.94%
48,537,--,0.00%,22.86,N,23.08,P,6 APR 23,285,.23,W,.25,T,367,"5,779",30.27%,8.97%
