Stock quote and option quote for DIA on 3/28/23 22:21:44

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
323.81,P,-.50,325.00, ,325.28, ,800 x 800,"2,536,520",323.99,325.65,322.84

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
0,3.18%,73.76,.8581,M,3/17/23,354.8783,286.62,"82,140,000",.939

31 MAR 23  (2)  100 (Quarterlys)
,,Volume,Open.Int,Impl Vol,Prob.Touch,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Volume,Open.Int,Impl Vol,Prob.Touch,,
,,<empty>,11,--,0.00%,27.00,T,29.50,T,31 MAR 23,296,.01,T,.05,B,79,450,45.54%,1.60%,,
,,<empty>,25,--,0.00%,26.00,T,28.65,T,31 MAR 23,297,.02,T,.05,B,5,"1,585",44.91%,1.86%,,
,,<empty>,11,--,0.00%,24.25,Q,27.55,M,31 MAR 23,298,.02,T,.06,B,3,563,44.17%,2.12%,,
,,<empty>,4,--,0.00%,24.35,Z,26.35,Z,31 MAR 23,299,.05,N,.07,B,2,124,45.04%,2.99%,,
,,<empty>,45,--,0.00%,23.50,Z,24.90,Z,31 MAR 23,300,.06,N,.07,B,54,"1,270",43.97%,3.27%,,
,,4,26,--,0.00%,22.55,Q,23.90,Q,31 MAR 23,301,.05,T,.07,B,7,"2,285",41.91%,3.17%,,
,,<empty>,14,--,0.00%,21.60,Q,22.80,Q,31 MAR 23,302,.02,H,.07,T,331,421,38.74%,2.60%,,
,,<empty>,37,--,0.00%,20.55,Z,21.90,Z,31 MAR 23,303,.04,T,.08,T,"1,029","2,256",38.78%,3.38%,,
,,<empty>,39,--,0.00%,19.40,Q,20.95,Q,31 MAR 23,304,.04,T,.09,T,12,"2,868",37.64%,3.71%,,
,,<empty>,395,--,0.00%,18.55,T,19.80,T,31 MAR 23,305,.05,B,.10,B,56,769,36.84%,4.28%,,
,,<empty>,29,--,0.00%,17.70,N,18.90,N,31 MAR 23,306,.05,T,.11,B,27,245,35.57%,4.66%,,
,,<empty>,258,--,0.00%,16.55,Q,17.80,Q,31 MAR 23,307,.06,T,.12,T,27,967,34.59%,5.29%,,
,,1,38,--,0.00%,15.75,N,16.80,N,31 MAR 23,308,.08,T,.13,T,350,913,33.79%,6.17%,,
,,<empty>,50,--,0.00%,14.70,Z,15.95,Z,31 MAR 23,309,.09,B,.15,B,64,369,32.85%,7.09%,,
,,1,222,--,0.00%,13.50,T,14.90,T,31 MAR 23,310,.11,T,.16,T,297,"2,004",31.79%,8.06%,,
,,1,71,--,0.00%,12.85,Q,14.00,Q,31 MAR 23,311,.13,T,.18,T,32,337,30.82%,9.30%,,
,,<empty>,31,--,0.00%,12.30,N,12.55,N,31 MAR 23,312,.15,T,.20,T,105,511,29.72%,10.62%,,
,,1,78,--,0.00%,11.30,I,11.60,I,31 MAR 23,313,.19,T,.24,T,681,"1,125",29.11%,12.86%,,
,,<empty>,105,--,0.00%,10.35,I,10.60,N,31 MAR 23,314,.23,T,.27,T,146,938,28.14%,15.01%,,
,,14,238,--,0.00%,9.45,I,9.65,P,31 MAR 23,315,.29,B,.33,B,191,"1,331",27.58%,18.26%,,
,,10,204,--,0.00%,8.50,I,8.75,X,31 MAR 23,316,.36,T,.40,B,331,940,26.92%,21.99%,,
,,4,292,--,0.00%,7.60,I,7.80,T,31 MAR 23,317,.45,T,.48,T,"1,251","2,943",26.24%,26.40%,,
,,10,252,--,0.00%,6.75,N,6.90,N,31 MAR 23,318,.57,P,.59,T,984,"1,004",25.75%,32.00%,,
,,15,273,--,0.00%,5.85,I,6.05,X,31 MAR 23,319,.70,T,.72,N,246,"1,173",25.09%,38.24%,,
,,56,"1,386",12.06%,12.79%,5.05,I,5.20,N,31 MAR 23,320,.87,T,.90,Z,529,"1,987",24.64%,45.92%,,
,,86,454,14.04%,29.65%,4.25,I,4.40,T,31 MAR 23,321,1.08,P,1.11,T,463,922,24.16%,54.66%,,
,,298,531,14.88%,46.09%,3.50,B,3.65,B,31 MAR 23,322,1.33,P,1.36,T,308,"1,811",23.65%,64.46%,,
,,434,587,15.34%,63.42%,2.85,I,2.93,T,31 MAR 23,323,1.63,T,1.67,P,565,"1,833",23.20%,75.44%,,
,,706,385,15.48%,81.38%,2.24,T,2.29,T,31 MAR 23,324,2.01,D,2.05,T,915,750,22.93%,87.45%,,
,,"2,724",969,15.41%,100.00%,1.69,T,1.73,T,31 MAR 23,325,2.45,D,2.51,P,476,"1,365",22.75%,100.00%,,
,,561,402,15.26%,81.26%,1.22,D,1.26,T,31 MAR 23,326,2.97,T,3.10,I,177,241,22.95%,87.39%,,
,,451,728,15.12%,63.27%,.85,D,.88,T,31 MAR 23,327,3.60,P,3.70,N,126,"1,006",23.14%,75.33%,,
,,233,762,15.08%,47.27%,.57,Q,.60,T,31 MAR 23,328,4.30,P,4.45,P,181,345,23.86%,64.80%,,
,,97,889,15.04%,33.78%,.37,T,.39,N,31 MAR 23,329,5.10,Z,5.30,I,69,324,25.16%,56.43%,,
,,345,"3,580",15.33%,24.03%,.25,P,.26,N,31 MAR 23,330,6.00,P,6.20,I,66,"2,777",26.97%,50.18%,,
,,244,670,15.66%,16.82%,.16,T,.18,T,31 MAR 23,331,6.90,Z,7.10,Z,2,578,28.55%,44.68%,,
,,169,"2,439",16.23%,12.13%,.11,T,.13,T,31 MAR 23,332,7.45,Z,8.70,Z,24,428,32.10%,43.00%,,
,,80,547,16.80%,8.75%,.08,T,.09,N,31 MAR 23,333,8.50,T,9.65,T,5,347,34.68%,40.41%,,
,,266,440,17.56%,6.63%,.06,T,.07,P,31 MAR 23,334,9.10,Z,11.30,Z,<empty>,21,38.80%,40.15%,,
,,109,"1,082",18.31%,5.06%,.04,T,.06,T,31 MAR 23,335,10.15,T,12.10,T,1,559,40.32%,37.03%,,
,,44,803,19.13%,3.99%,.03,E,.05,D,31 MAR 23,336,11.05,P,13.30,T,<empty>,1,43.42%,36.04%,,
,,6,293,19.73%,2.99%,.02,T,.04,T,31 MAR 23,337,11.95,P,14.30,T,<empty>,3,45.12%,33.76%,,
,,4,307,20.62%,2.46%,.02,T,.03,T,31 MAR 23,338,12.85,T,15.30,T,<empty>,1,46.73%,31.64%,,
,,16,185,21.36%,1.96%,.01,T,.03,T,31 MAR 23,339,14.05,P,16.30,T,<empty>,0,50.48%,31.80%,,
,,13,787,21.78%,1.43%,.01,T,.02,T,31 MAR 23,340,14.95,T,17.20,T,17,18,51.26%,29.28%,,
,,15,418,23.02%,1.36%,.01,T,.02,T,31 MAR 23,341,15.95,T,18.25,T,<empty>,3,53.87%,28.60%,,
,,1,162,23.22%,0.94%,0,M,.02,T,31 MAR 23,342,17.05,P,19.45,T,<empty>,0,58.37%,29.54%,,
,,1,169,24.27%,0.86%,0,J,.02,D,31 MAR 23,343,18.05,P,20.70,Z,<empty>,0,62.46%,30.07%,,
,,1,146,23.84%,0.48%,0,M,.01,T,31 MAR 23,344,18.90,T,21.40,T,<empty>,0,61.19%,26.59%,,
,,48,"1,027",24.94%,0.46%,0,M,.01,T,31 MAR 23,345,19.95,T,22.45,T,<empty>,8,64.14%,26.42%,,
,,23,142,26.03%,0.44%,0,M,.01,T,31 MAR 23,346,20.80,N,23.65,N,<empty>,1,66.67%,25.98%,,
,,<empty>,821,27.11%,0.43%,0,J,.01,N,31 MAR 23,347,21.75,Z,24.65,Z,<empty>,0,68.37%,25.02%,,
,,1,194,28.19%,0.41%,0,M,.01,T,31 MAR 23,348,22.80,N,25.60,N,5,10,70.46%,24.39%,,
,,1,181,29.26%,0.39%,0,M,.01,T,31 MAR 23,349,23.75,Z,26.70,Z,<empty>,0,72.96%,24.07%,,
,,2,491,30.32%,0.38%,0,M,.01,T,31 MAR 23,350,24.75,M,27.55,Q,3,5,73.72%,22.72%,,
,,3,470,31.37%,0.37%,0,X,.01,T,31 MAR 23,351,25.65,T,29.00,N,<empty>,0,78.77%,23.97%,,
,,<empty>,160,32.42%,0.36%,0,J,.01,T,31 MAR 23,352,26.65,T,29.65,N,<empty>,3,77.76%,21.72%,,
,,<empty>,59,33.47%,0.34%,0,X,.01,T,31 MAR 23,353,27.65,T,30.65,N,<empty>,0,79.76%,21.26%,,
,,<empty>,67,34.51%,0.33%,0,X,.01,T,31 MAR 23,354,29.00,M,31.75,N,<empty>,0,85.74%,22.95%,,
,,4,237,35.54%,0.32%,0,X,.01,T,31 MAR 23,355,29.65,T,32.65,N,<empty>,11,83.72%,20.42%,,

6 APR 23  (8)  100 (Weeklys)
